discrimination_occurred,respodent_id,interview_country,age,gender,job_situation,ethnic_group,household_income,income_imputed,religion,marital status,past_discrim_exp,extent_of_discrim,can_make_ends_meet,rent_or_own_housing,searched_for_housing,urbanization_degree,health_status,has_illness,health_impact_on_life,insurance_coverage,violence_exp_by_family,aware_of_support_org,friends_from_diff_ethnicity,friends_from_majority,neighbour_ethnicity,social_transfers,poverty_risk,citizenship_status,stopped_by_police
1,887.0,1.0,32.0,1.0,10.0,8.0,18.0,0.0,2.0,1,16.0,9.0,1,0,1,3.0,4.0,0,3.0,1,2,0,1,1,0,0,0.0,0.0,1
0,890.0,1.0,28.0,2.0,7.0,8.0,15.0,0.0,1.0,1,9.0,6.0,0,0,1,3.0,5.0,0,3.0,1,0,0,1,1,0,3,1.0,0.0,0
1,895.0,1.0,30.0,2.0,1.0,8.0,19.0,0.0,1.0,1,15.0,6.0,0,0,1,3.0,5.0,0,3.0,1,1,1,1,1,0,2,1.0,0.0,0
1,900.0,1.0,28.0,2.0,1.0,8.0,19.0,0.0,1.0,1,16.0,8.0,0,0,0,3.0,5.0,0,3.0,1,1,1,1,1,0,2,0.0,0.0,0
1,904.0,1.0,30.0,2.0,1.0,8.0,19.0,0.0,1.0,1,14.0,5.0,0,0,0,3.0,5.0,0,3.0,1,1,0,1,1,0,2,1.0,0.0,0
0,910.0,1.0,42.0,1.0,1.0,8.0,21.0,0.0,1.0,1,15.0,7.0,1,0,0,3.0,4.0,0,3.0,1,1,1,1,1,0,1,1.0,1.0,1
1,916.0,1.0,34.0,1.0,1.0,8.0,19.0,0.0,1.0,1,14.0,6.0,0,0,1,3.0,4.0,0,3.0,1,1,1,1,1,0,1,0.0,1.0,1
1,920.0,1.0,38.0,1.0,1.0,8.0,12.0,0.0,1.0,0,15.0,8.0,0,0,1,3.0,5.0,0,3.0,1,1,0,1,1,0,0,1.0,0.0,0
0,921.0,1.0,36.0,2.0,4.0,8.0,9.0,0.0,0.0,0,15.0,7.0,0,0,1,3.0,3.0,0,2.0,1,1,1,0,1,0,3,1.0,0.0,0
1,923.0,1.0,37.0,2.0,2.0,8.0,19.0,0.0,1.0,1,16.0,6.0,0,0,0,3.0,5.0,0,3.0,1,0,0,1,1,0,2,0.0,0.0,0
1,926.0,1.0,50.0,1.0,4.0,8.0,16.0,0.0,1.0,1,6.0,10.0,0,0,0,3.0,3.0,0,3.0,1,1,1,0,0,0,1,1.0,0.0,1
0,930.0,1.0,45.0,2.0,1.0,8.0,19.0,1.0,1.0,1,9.0,6.0,0,0,0,3.0,5.0,0,3.0,1,1,1,1,1,0,1,1.0,1.0,0
1,934.0,1.0,36.0,2.0,1.0,8.0,20.0,0.0,1.0,1,14.0,6.0,0,0,1,3.0,4.0,0,3.0,1,1,1,1,1,0,1,1.0,1.0,0
1,939.0,1.0,38.0,2.0,4.0,8.0,15.0,0.0,1.0,1,14.0,9.0,0,0,0,3.0,5.0,0,3.0,1,1,1,0,0,0,0,1.0,0.0,0
1,947.0,1.0,31.0,2.0,1.0,8.0,17.0,0.0,1.0,0,10.0,11.0,1,0,0,3.0,5.0,0,3.0,1,1,0,1,1,0,0,0.0,0.0,1
0,948.0,1.0,39.0,1.0,1.0,8.0,20.0,0.0,1.0,1,14.0,6.0,1,0,1,3.0,4.0,0,3.0,1,1,1,1,1,0,1,0.0,1.0,1
