EUD01_01,EUD01_02,EUD01_03,EUD01_04,EUD01_05,EUD01_06,EUD01_07,EUD01_08,EUD01_09,EUD01_96,EUD01_97,EUD01_99,id,Generation,HH02,HH03,HH04,IN02,IN05,SI03_3_H,PB01_mod,S01_mod,SI06_mod,HLS02_mod,DHO01_mod,DEGURBA_mod,DHE01_mod,DHE02_mod,DHE03_mod,DHE04_mod,RA04_mod,VV10,res_stat_mod_1,arop_mod,RA03,VH01a,DO27_mod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,508.0,1.0,25.0,1.0,10.0,8.0,187.0,2.0,2.0,1,0,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,9.0,2.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,511.0,1.0,46.0,1.0,1.0,8.0,154.0,19.0,1.0,1,1,0,0,3.0,4.0,1,3.0,1,0,0.0,1,,5.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,514.0,1.0,44.0,2.0,1.0,8.0,154.0,19.0,1.0,1,1,0,0,3.0,4.0,0,3.0,1,1,0.0,1,,5.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,1.0,50.0,1.0,4.0,8.0,64.0,13.0,1.0,0,0,0,0,3.0,4.0,1,2.0,1,1,1.0,1,,6.0,8.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,1.0,34.0,1.0,1.0,8.0,225.0,17.0,1.0,0,0,0,1,3.0,4.0,0,3.0,1,0,0.0,0,,6.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,1.0,28.0,1.0,1.0,8.0,153.0,12.0,2.0,0,0,0,0,3.0,4.0,0,3.0,1,1,0.0,0,,6.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,559.0,2.0,17.0,1.0,5.0,8.0,1.0,15.0,1.0,0,1,0,0,3.0,4.0,0,2.0,1,0,0.0,0,,3.0,17.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,1.0,54.0,1.0,2.0,8.0,154.0,17.0,1.0,1,0,0,0,3.0,3.0,1,3.0,1,1,0.0,0,,8.0,2.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,572.0,1.0,49.0,1.0,4.0,8.0,154.0,8.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,0,0.0,0,,3.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,573.0,1.0,47.0,2.0,7.0,8.0,154.0,13.0,1.0,0,0,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,4.0,0.0,0
